* Sea Surface Temperature timeseries for an undisclosed location in the ocean.
* This dataset was prepared for a Class Project for Basic Computer Skills 2
* At the Cape Peninsula University of Technology.
* Column 1: UTC Date and Time [YYYYMMDDHHMMSS]
* Column 2: Sea Surface Temperature [Deg.C]
"20190905095558,15.4681"
"20190905095604,15.4684"
"20190905095610,15.4691"
"20190905095616,15.4691"
"20190905095622,15.4687"
"20190905095628,15.4675"
"20190905105646,15.4670"
"20190905105652,15.4670"
"20190905105658,15.4680"
"20190905105704,15.4677"
"20190905105710,15.4684"
"20190905105716,15.4679"
"20190905105722,15.4674"
"20190905105728,15.4675"
"20190905105734,15.4670"
"20190905105740,15.4665"
"20190905105746,15.4669"
"20190905105752,15.4664"
"20190905105758,15.4660"
"20190905105804,15.4662"
"20190905105810,15.4664"
"20190905105816,15.4677"
"20190905105822,15.4672"
"20190905105828,15.4667"
"20190905105834,15.4672"
"20190905105840,15.4671"
"20190905105846,15.4678"
"20190905105852,15.4687"
"20190905105858,15.4693"
"20190905105904,15.4691"
"20190905105910,15.4694"
"20190905105916,15.4699"
"20190905105922,15.4697"
"20190905105928,15.4700"
"20190905105934,15.4703"
"20190905105940,15.4694"
"20190905105946,15.4692"
"20190905105952,15.4684"
"20190905105958,15.4684"
"20190905110004,15.4684"
"20190905110010,15.4684"
"20190905110016,15.4682"
"20190905110022,15.4684"
"20190905110028,15.4680"
"20190905110034,15.4680"
"20190905110040,15.4688"
"20190905110046,15.4693"
"20190905110052,15.4694"
"20190905110058,15.4689"
"20190905110104,15.4695"
"20190905110110,15.4687"
"20190905110116,15.4677"
"20190905110122,15.4679"
"20190905110128,15.4680"
"20190905110134,15.4669"
"20190905110140,15.4665"
"20190905110146,15.4658"
"20190905110152,15.4647"
"20190905110158,15.4648"
"20190905110204,15.4654"
"20190905110210,15.4651"
"20190905110216,15.4647"
"20190905110222,15.4638"
"20190905110228,15.4640"
"20190905110234,15.4638"
"20190905110240,15.4636"
"20190905110246,15.4640"
"20190905110252,15.4645"
"20190905110258,15.4648"
"20190905110304,15.4653"
"20190905110310,15.4657"
"20190905110316,15.4656"
"20190905110322,15.4651"
"20190905110328,15.4647"
"20190905110334,15.4646"
"20190905110340,15.4649"
"20190905110346,15.4663"
"20190905110352,15.4662"
"20190905110358,15.4661"
"20190905110404,15.4655"
"20190905110410,15.4659"
"20190905110416,15.4661"
"20190905110422,15.4662"
"20190905110428,15.4669"
"20190905110434,15.4662"
"20190905110440,15.4668"
"20190905110446,15.4669"
"20190905110452,15.4666"
"20190905110458,15.4672"
"20190905110504,15.4666"
"20190905110510,15.4679"
"20190905110516,15.4667"
"20190905110522,15.4655"
"20190905110528,15.4649"
"20190905110534,15.4639"
"20190905110540,15.4633"
"20190905110546,15.4636"
